Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	ShowRet	SJF	F1	Time
21	-86.48374	43.150887	-27.233198	-259.97928	189.08	36.57258	279.0	89.0	-93.454414	14.796484	-81.050674	-269.40164	1126400	-3.228007e-09	1775.0317	-0.002106168	-58.008423	1.9512677	0.0020765553	0.018669346	79.0	-36.055504	70.89412	62.90138	4849.828958749771
22	-82.57725	38.20293	-23.69832	-236.6594	183.05	37.027657	286.0	94.0	-87.138374	13.619636	-72.081635	-245.22867	1177600	-8.3358587e-10	1415.3414	-0.0020644004	-37.983765	1.9871283	0.001351002	0.009997268	79.0	-34.245018	69.430115	60.7102	5100.774112224579
23	-81.693474	38.562603	-26.78495	-192.98235	182.16	36.643887	293.0	121.0	-85.54623	11.29847	-75.67553	-198.70468	1228800	3.3506344e-09	1433.0912	-0.0022635579	-14.659302	2.0107813	0.001090503	0.0088383835	79.0	-33.378544	71.33865	61.981956	5350.709451198578
24	-85.89477	44.5128	-25.761736	-253.42049	188.43	39.139557	298.0	96.0	-84.89095	14.950197	-72.116264	-261.47736	1280000	3.2391423e-09	1761.3806	-0.002918778	-76.68286	1.9739575	0.002052565	0.021121902	79.0	-37.10343	73.02093	56.297455	5609.016691446304
25	-90.6844	46.541416	-21.866339	-271.7725	192.27	41.881702	313.0	104.0	-87.28395	14.922568	-68.85286	-222.85396	1331200	3.1744503e-09	2144.7495	-0.0028447742	-115.87598	2.0326395	0.00083210645	0.01622718	79.0	-35.55159	80.009926	65.285385	5869.875112295151
26	-82.99345	42.008217	-23.327383	-229.79443	191.48	37.945877	302.0	116.0	-92.57117	14.723103	-75.95432	-221.97316	1382400	-5.378986e-09	1839.775	-0.002608006	-97.72681	1.9977156	0.0017196073	0.012586171	79.0	-31.991762	74.47598	58.686337	6128.099145412445
27	-82.311104	39.589256	-20.941208	-196.86899	202.28	41.37054	314.0	125.0	-84.106445	11.944312	-68.86117	-231.75583	1433600	2.413888e-08	1382.6929	-0.0025239976	-17.941406	1.914637	0.0017530016	0.012902907	79.0	-32.671295	74.036476	58.826954	6401.69402217865
28	-79.8267	39.438072	-24.548414	-284.42328	198.13	47.240166	327.0	108.0	-84.00261	14.332454	-64.9363	-317.25928	1484800	-3.0805611e-09	1428.6838	-0.0026121864	-23.533813	1.879822	0.0012634441	0.012062787	79.0	-29.660744	72.04757	61.943382	6671.866429567337
29	-78.13939	36.72857	-22.400698	-212.70554	189.34	38.170464	303.0	122.0	-81.02886	11.878936	-65.46422	-216.2632	1536000	8.058936e-09	1231.0933	-0.0036598498	-13.067627	1.9596637	0.0021117805	0.022763282	79.0	-30.532764	69.54269	58.50344	6927.147380828857
30	-75.86317	39.33342	-20.758963	-206.34854	188.9	36.402885	269.0	118.0	-79.06796	11.932259	-67.44601	-199.82011	1587200	6.462166e-09	1469.5143	-0.0032525277	-19.415161	1.9343183	0.0011098254	0.021228163	79.0	-22.87364	76.92876	62.665104	7182.890259504318
31	-70.50315	31.527517	-17.586393	-182.29135	190.56	32.337074	273.0	100.0	-77.21133	11.211445	-57.522106	-201.91948	1638400	-1.9217618e-08	942.8775	-0.002104337	-52.485596	1.9458648	0.00114496	0.0055625523	79.0	-24.299969	65.85593	60.471413	7439.83332657814
32	-80.09029	41.7478	-24.020369	-234.35118	191.41	44.465515	323.0	111.0	-72.77768	13.955268	-56.241432	-269.68457	1689600	0.0	1725.6106	-0.003039046	-132.69629	1.9012693	0.0019129692	0.019643696	79.0	-31.973326	72.41355	62.233223	7702.1330280303955
33	-69.550316	30.572525	-21.93903	-204.05624	188.16	40.767563	311.0	115.0	-80.77129	10.629487	-60.25872	-194.71053	1740800	-1.0542318e-08	989.68494	-0.0037398727	-147.2514	1.8689625	0.0017106804	0.023224914	79.0	-23.503891	70.24351	53.0046	7959.270657777786
34	-81.82061	41.768353	-25.943113	-206.91566	193.42	40.236343	305.0	120.0	-71.16991	12.268972	-59.79393	-177.26582	1792000	4.7333644e-09	1611.9329	-0.0019826011	-159.19556	1.9415127	0.0019885243	0.011632716	79.0	-28.012774	77.246254	65.93176	8223.69142961502
35	-78.239296	45.90875	-14.084663	-288.03656	195.47	41.19817	305.0	97.0	-82.00543	14.909133	-68.651474	-260.6066	1843200	-1.0928687e-08	1952.9911	-0.0027129075	-44.843994	1.8767886	0.0014159615	0.018928736	79.0	-26.192297	74.048454	68.35033	8489.896296024323
36	-70.598785	43.558247	-21.541052	-283.75433	194.86	37.49054	318.0	129.0	-79.285995	16.38374	-64.210304	-351.48367	1894400	-7.830642e-09	1744.5994	-0.0033901809	-96.99573	1.9111233	0.0015253846	0.02324746	79.0	-21.938467	70.20123	58.24889	8755.87826180458
37	-74.54758	41.524525	-27.419828	-302.27448	202.4	38.118763	304.0	114.0	-72.512794	16.452406	-55.30092	-284.04214	1945600	-9.046713e-09	1602.9924	-0.0034169254	-117.42932	1.853834	0.0017899767	0.023764823	79.0	-22.071411	77.10138	63.566917	9031.326179265976
38	-73.461555	37.08028	-16.699465	-177.63618	201.2	43.47827	315.0	108.0	-77.91194	15.453643	-49.433342	-271.66147	1996800	7.5838913e-10	1358.5759	-0.0032351566	-96.17737	1.8347722	0.0034309716	0.028379722	79.0	-21.637392	75.32882	65.327614	9305.503385782242
39	-73.129776	37.76856	-18.225725	-205.37589	193.02	42.300114	300.0	77.0	-77.63914	12.115801	-54.01718	-160.76228	2048000	1.2648463e-08	1433.0685	-0.0033261424	-72.28052	1.8261162	0.0018762007	0.019738887	79.0	-18.831303	78.58945	65.34457	9566.438118219376
40	-73.57388	41.45736	-18.97384	-235.90971	199.93	39.517406	302.0	121.0	-76.198074	15.441811	-61.036366	-238.86897	2099200	2.7475437e-08	1646.9712	-0.0026720809	-61.04712	1.8463818	0.0023517348	0.018506477	79.0	-26.163546	76.583694	54.755943	9836.443315267563
41	-72.87754	35.618053	-19.892225	-206.78925	201.82	39.136017	309.0	111.0	-75.584625	12.717219	-58.936176	-208.48895	2150400	3.0242372e-08	1248.6611	-0.00226131	-53.419434	1.7753378	0.0016612979	0.015607967	79.0	-25.903416	74.73039	55.48957	10108.397851467133
42	-62.619366	30.573643	-18.122744	-177.99806	197.83	33.950275	273.0	130.0	-74.43435	12.089046	-59.876255	-188.71162	2201600	-4.6278488e-09	1000.9095	-0.002959238	-140.77869	1.7342908	0.0014633564	0.011019562	79.0	-18.086838	67.79507	51.39685	10376.06190252304
43	-73.32188	41.606476	-24.834385	-309.87527	193.75	43.09672	335.0	101.0	-64.180016	13.432369	-50.78192	-252.86026	2252800	-1.2600807e-08	1777.47	-0.003061681	-210.27039	1.8094594	0.0031439937	0.02348387	79.0	-26.197508	69.914276	58.833614	10638.430914402008
44	-76.83763	40.327045	-21.049112	-180.65668	201.83	40.489025	318.0	125.0	-76.620674	16.86425	-54.2213	-245.9275	2304000	-2.5704743e-08	1547.0238	-0.0029117435	-92.692505	1.7990474	0.0013429157	0.018579993	79.0	-18.561237	79.86608	69.02517	10910.300159215927
45	-69.30123	32.919514	-21.59778	-164.69876	200.82	41.107513	330.0	112.0	-78.95529	11.8497305	-60.927856	-195.33522	2355200	-4.1030507e-08	1047.8611	-0.002589134	-86.8869	1.7657534	0.0015917148	0.015984464	79.0	-19.717243	70.62115	55.452377	11182.394698858261
46	-70.54167	36.51836	-25.911863	-195.40678	206.63	43.348278	312.0	108.0	-71.30547	12.213705	-52.943985	-191.83911	2406400	2.0676866e-08	1258.1829	-0.0025751812	-53.93811	1.6829315	0.0007597405	0.016648116	79.0	-24.615652	72.56226	50.92508	11459.711951494217
47	-69.481476	37.747704	-22.028284	-207.32433	204.88	38.61302	305.0	131.0	-72.05592	13.13045	-34.18704	-188.25739	2457600	8.937206e-09	1393.2048	-0.0034429482	-54.271973	1.7713795	0.0016864445	0.020353377	79.0	-18.418571	75.65789	62.232773	11736.359130620956
48	-71.18249	37.16322	-20.93534	-206.37733	204.0	44.231438	326.0	121.0	-71.8874	14.276295	-32.692947	-232.39725	2508800	1.3463637e-08	1273.95	-0.0035642423	-93.85779	1.7560796	0.0024798894	0.019166667	79.0	-21.111197	71.75695	60.651768	12010.998385190964
49	-63.67222	34.028217	-23.676548	-190.45726	201.72	46.987457	326.0	90.0	-71.71428	12.289019	-43.428425	-157.38931	2560000	1.9667286e-08	1095.4702	-0.0031330327	-81.273315	1.6357373	0.00055775366	0.01730121	79.0	-15.313311	72.60681	58.327915	12281.947600126266
50	-71.783646	37.121227	-21.765944	-178.60574	206.51	45.585194	352.0	94.0	-66.8985	17.554537	-33.374302	-233.90746	2611200	2.9555546e-08	1263.3333	-0.0022897627	-90.56506	1.6962048	0.0021170296	0.015205075	79.0	-20.282059	78.76225	59.9871	12561.973271131516
51	-67.30081	37.69908	-17.85289	-189.15822	198.28	41.48616	309.0	118.0	-73.7787	15.404012	-28.884375	-251.14568	2662400	-2.4625844e-08	1397.5873	-0.003331261	-78.70569	1.7036297	0.0026495084	0.020223925	79.0	-16.666496	69.86042	66.59669	12832.381720781326
52	-66.84149	30.365736	-23.02323	-178.46544	200.47	43.71166	316.0	88.0	-70.10405	12.708448	-36.43758	-157.71219	2713600	9.133809e-09	868.83417	-0.0027480556	-38.611084	1.6968269	0.0015202822	0.0140170595	79.0	-17.055042	82.206276	59.41879	13102.929566144943
53	-65.03882	32.232227	-13.644154	-156.125	199.92	38.37126	324.0	140.0	-69.15792	11.310339	-40.75289	-153.48418	2764800	-1.2211916e-08	983.42615	-0.0035396363	-52.799072	1.6886334	0.0023828456	0.022959184	79.0	-14.969571	72.30061	61.98424	13372.846524477005
