Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	ShowRet	SJF	F1	Time
21	-432.44547	777.7758	-1.4262524	-5908.6665	256.0	0.0	256.0	256.0	-424.76007	440.21786	-117.80969	-4747.913	563200	7.152557e-09	317089.6	-0.0024141306	-67700.69	1.4592115	0.0024836052	0.020820312	79.0	29.411577	567.58057	489.16324	5021.628638982773
22	-321.55756	367.7064	-1.4185449	-2005.1024	256.0	0.0	256.0	256.0	-379.54504	390.709	-75.38475	-3822.9902	588800	-4.7683715e-09	128755.99	-0.0029751111	-46465.97	1.4219229	0.0019077953	0.016835937	79.0	-10.266484	471.79745	340.6037	5244.283292770386
23	-439.6949	732.9872	-1.9992188	-4024.309	256.0	0.0	256.0	256.0	-343.4382	350.58884	-105.28278	-3804.3003	614400	1.66893e-08	296339.0	-0.0034855248	-77748.55	1.5433698	0.0025575703	0.021054687	79.0	-0.10912082	671.5455	456.70566	5476.279350280762
24	-308.01404	465.09604	-1.0594672	-3113.0295	256.0	0.0	256.0	256.0	-397.3039	449.97238	-72.02592	-3797.5366	640000	-1.1920929e-09	119325.35	-0.0029837633	-28620.164	1.4119072	0.0027411722	0.022539062	79.0	-35.425365	316.7885	288.9309	5707.504644870758
25	-322.9157	550.92096	-1.391553	-4106.1816	256.0	0.0	256.0	256.0	-287.504	332.28482	-93.59545	-4674.371	665600	5.9604646e-09	153599.97	-0.0031339598	-17379.766	1.4141842	0.0028145898	0.019882813	79.0	-28.127779	431.17667	304.66025	5937.269477844238
26	-258.431	406.85693	-1.391553	-2709.4307	256.0	0.0	256.0	256.0	-289.1611	323.7632	-58.94503	-4122.556	691200	6.556511e-09	103208.57	-0.003578574	-19473.547	1.282018	0.0022450231	0.018710937	79.0	-69.50654	244.90994	202.7271	6165.365231513977
27	-334.61398	516.02704	-1.4395843	-2988.7605	256.0	0.0	256.0	256.0	-259.34143	290.35507	-88.19176	-3382.1885	716800	-1.1920929e-08	174594.08	-0.003002845	-27584.64	1.3950559	0.0011682855	0.015234375	79.0	22.372578	570.88434	402.35263	6397.508095741272
28	-419.22986	557.33344	-1.391553	-3306.4575	256.0	0.0	256.0	256.0	-374.06985	399.9683	-128.68588	-3654.216	742400	9.536743e-09	186563.8	-0.0028542208	-17210.64	1.6356375	0.0030144	0.02875	79.0	-11.662763	560.52374	447.14886	6628.338655948639
29	-346.38174	555.85535	-1.5612372	-3739.3335	256.0	0.0	256.0	256.0	-408.59317	412.30072	-138.90038	-3876.7056	768000	0.0	138608.2	-0.0027502412	-18364.805	1.4398798	0.0027997806	0.02421875	79.0	33.62508	513.7417	407.63647	6859.389189004898
30	-374.55777	571.8873	-1.1956993	-4039.5493	256.0	0.0	256.0	256.0	-314.15842	303.32364	-95.20178	-3318.3918	793600	2.3841857e-09	220270.23	-0.0032874155	-42179.312	1.5075848	0.0024589247	0.021289062	79.0	-19.291319	517.6615	371.85983	7096.6764895915985
